districts,google_maps_link,address,polling_station,diplomatic entity,kalam,country,lat,long
19 - 26 - 17 - 13 - 11 - 9 - 6 -8 - 4,https://goo.gl/maps/Sh4AQekyP7L3,"981 Park Ave., New York, NY 10028",Loyola School - نيويورك,قنصلية لبنان العامة في نيويورك,11,الولايات المتحدة الأمريكية - أمريكا الشمالية,40.778481,-73.958898
1 - 2 - 25 - 20 - 15 -18 - 14 - 12 - 24 - 21 - 16 - 23 - 26 - 27 - 10 - 19,https://goo.gl/maps/79HoAmfdTs92,"2345 Commonwealth Ave., Newton, MA 02466",Boston Marriott Newton - بوسطن,قنصلية لبنان العامة في نيويورك,12,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.346513,-71.258624
17 - 13 - 11 - 9,https://goo.gl/maps/79HoAmfdTs93,"2345 Commonwealth Ave., Newton, MA 02466",Boston Marriott Newton - بوسطن,قنصلية لبنان العامة في نيويورك,13,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.346513,-71.258624
6 - 8 - 4 - 5 - 3 - 7,https://goo.gl/maps/79HoAmfdTs94,"2345 Commonwealth Ave., Newton, MA 02466",Boston Marriott Newton - بوسطن,قنصلية لبنان العامة في نيويورك,14,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.346513,-71.258624
0,https://goo.gl/maps/o85Jyt9pdvt,"195 Davidson Ave., Somerset, NJ 08873",Fairbridge Hotel - سامرست,قنصلية لبنان العامة في نيويورك,15,الولايات المتحدة الأمريكية - أمريكا الشمالية,40.538488,-74.524475
0,https://goo.gl/maps/3dvfxHmzQuq,"22 West St., Danbury CT 06810",The Lebanon-American Club - دانبيري of Danbury,قنصلية لبنان العامة في نيويورك,16,الولايات المتحدة الأمريكية - أمريكا الشمالية,41.39285,-73.452651
0,https://goo.gl/maps/xk9R46fU2t92,"3723 Nazareth Rd., Easton, PA 18045",Hampton Inn Hotel - ايستون,قنصلية لبنان العامة في نيويورك,17,الولايات المتحدة الأمريكية - أمريكا الشمالية,40.709727,-75.280696
1 - 2 - 8 - 25 - 26,https://goo.gl/maps/rwmMMzKsRnk,"251 S. Olive St., Los Angeles, CA 90012",Omni Los Angeles Hotel - لوس انجلوس,قنصلية لبنان العامة في لوس انجلوس,18,الولايات المتحدة الأمريكية - أمريكا الشمالية,34.052721,-118.250348
9 - 3 - 11 - 4 - 13 - 6 - 17 -24,https://goo.gl/maps/rwmMMzKsRnk,"251 S. Olive St., Los Angeles, CA 90012",Omni Los Angeles Hotel - لوس انجلوس,قنصلية لبنان العامة في لوس انجلوس,19,الولايات المتحدة الأمريكية - أمريكا الشمالية,34.052721,-118.250348
27 - 10 - 5 - 14 - 15 - 16 - 18 - 7 - 19 - 20,https://goo.gl/maps/rwmMMzKsRnk,"251 S. Olive St., Los Angeles, CA 90012",Omni Los Angeles Hotel - لوس انجلوس,قنصلية لبنان العامة في لوس انجلوس,20,الولايات المتحدة الأمريكية - أمريكا الشمالية,34.052721,-118.250348
0,https://goo.gl/maps/BHVQ8GMfz7T2,"650 S. Main St., Corona, CA 92882",Corona Public Library - ريفر سايد,قنصلية لبنان العامة في لوس انجلوس,21,الولايات المتحدة الأمريكية - أمريكا الشمالية,33.874915,-117.567912
0,https://goo.gl/maps/ep56coeSD6m,"3359 26th St., San Francisco, CA 94110",The Laundry - سان فرانسيسكو,قنصلية لبنان العامة في لوس انجلوس,22,الولايات المتحدة الأمريكية - أمريكا الشمالية,37.748967,-122.417301
0,https://goo.gl/maps/ni1vZgHyC1q,"734 Polk St., Phoenix, AZ 85007",Unexpected Art Gallery - فينيكس,قنصلية لبنان العامة في لوس انجلوس,23,الولايات المتحدة الأمريكية - أمريكا الشمالية,33.453785,-112.083792
0,https://goo.gl/maps/BinubWdmPdA2,"777 NE ML King Blvd., OR 97232",Oregon Convention Center - بورتلاند,قنصلية لبنان العامة في لوس انجلوس,24,الولايات المتحدة الأمريكية - أمريكا الشمالية,45.528332,-122.66347
0,https://goo.gl/maps/AGVGHyAjk1P2,"15801 Michigan Ave., Dearborn, MI 48126",& Ford Community - ديربورن Performing Arts Center,قنصلية لبنان العامة في ديترويت,25,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.314121,-83.197377
0,https://goo.gl/maps/AGVGHyAjk1P3,"15801 Michigan Ave., Dearborn, MI 48126",& Ford Community - ديربورن Performing Arts Center,قنصلية لبنان العامة في ديترويت,26,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.314121,-83.197377
0,https://goo.gl/maps/RWXmwhTEZG42,"2301 York Rd., Oak Brook, IL 60523",The Drake Oak Brook Hotel - اوكبروك,قنصلية لبنان العامة في ديترويت,27,الولايات المتحدة الأمريكية - أمريكا الشمالية,41.845184,-87.927438
0,https://goo.gl/maps/PjRMpkXvvvL2,"1000 Town Center Suite 2450, Southfield, MI 48075",ديترويت - قنصلية لبنان العامة,قنصلية لبنان العامة في ديترويت,28,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.475138,-83.243654
0,https://goo.gl/maps/kZDNoZw6B3C2,"43133 Ryan Rd., Sterling Heights, MI 48314",& MCC Banquets - ستيرلنغ هايتس Events,قنصلية لبنان العامة في ديترويت,29,الولايات المتحدة الأمريكية - أمريكا الشمالية,42.608948,-83.072964
0,https://goo.gl/maps/yKGvJqHwdtK2,"6001 Rockside Rd., Independence, OH 44131",Holiday Inn - كليفلاند,قنصلية لبنان العامة في ديترويت,30,الولايات المتحدة الأمريكية - أمريكا الشمالية,41.397201,-81.649135
0,https://goo.gl/maps/ox8uVaDfuw52,"602 University Ave. NE, Minneapolis, MN 55413",Cedar Hall - مينيابوليس,قنصلية لبنان العامة في ديترويت,31,الولايات المتحدة الأمريكية - أمريكا الشمالية,44.994559,-93.261443
